FID,FID_Divisi,Division,MaintCntyC,LocCntyCod,RouteClass,RouteNumbe,RouteQuali,RouteInven,Direction,TravelDire,RouteMaint,RouteName,StreetName,SrcDocType,SrcDocID,GeoDocType,GeoDocID,RouteID,MPLength,LaneMiles,BeginMp1,EndMp1,BeginFeatu,EndFeature,RouteID2,BeginMp2,EndMp2,RouteID3,BeginMp3,EndMp3,RouteID4,BeginMp4,EndMp4,RouteID5,BeginMp5,EndMp5,RouteID6,BeginMp6,EndMp6,AADT,AadtDate,AADTTruck,AadttMulti,AadttSingl,AccessCont,AddDate,AddDocID,AddDocType,BarePvmtRo,BaseDetail,BaseThickn,DesignSpd,FcltyType,FuncClass,FuncClassD,HOVLnCount,HOVType,ImprvDate,ImprvDocID,ImprvDocTy,ImprvType,LaneWidth,LftPvdShld,LftShldrTy,LftShldrWi,LftTrnLnTy,LftTrnLnWi,MaintOps,MedianType,MedianWidt,NHS,NHSDate,OwnerName,OwnerType,PeakLanes,PostedRout,ROW,RtPvdShldr,RtShldrTyp,RtShldrWid,RtTrnLnTyp,RtTrnLnWid,SampleID,SpeedLimit,MilitaryBa,STRAHNETDa,STRAHNETTy,SrfcDetail,SrfcThickn,SrfcType,SrfcWidth,TerrainTyp,ThruLaneCo,TollCharge,TollID,TollType,MunPopGrou,TownCode,TownName,TrkRoute,TrkRouteDa,UrbanType,UrbanID,UrbanPop,Shape_Leng,FID_NC_M1_,Id,gridcode,Shape_Le_1,Shape_Area
0,1,2,007,007,2,264,9,0,BD,Both,System,US-264 BUS,W Main St,N, ,A,2010,29000264007,0.095934000000000,0.191868000000000,0.000000000000000,0.095934000000000,20000264007,50098794007, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000,3200,2020,264,64,200, ,12/31/1901 0:00:00, , ,Y, ,0.000000000000000,0, ,5,,0, ,12/31/1984 0:00:00, , ,RS,0,0,Curb-Con,0, ,0,0, ,0,0,, ,0,0, ,60,0,Grass,5, ,0,0,35,0,,0, ,0.000000000000000,Bitum,32,1,2, ,0, ,2,0210,Belhaven,0,, ,0,0,506.068728422999982,34754,34754,5,131.927948065000010,0.293170641149000
1,15,1,048,048,2,264,0,0,BD,Both,System,US-264,US 264 Hwy E,N, ,N, ,20000264048,0.323000000000000,0.646000000000000,0.000000000000000,0.323000000000000,BC000007,Pseudo, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000,2300,2020,280,130,150, ,12/31/1901 0:00:00, , ,Y, ,0.000000000000000,70, ,4,,0, ,12/31/1986 0:00:00, , ,RS,0,0,Grass,5, ,0,0, ,0,0,, ,0,0, ,100,0,Grass,5, ,0,0,55,0,,0, ,0.000000000000000,Bitum,22,1,2, ,0, ,0, , ,0,, ,0,0,1707.016147739999951,34754,34754,5,131.927948065000010,0.293170641149000
2,31,1,046,046,2,13,0,4,SB,One-way,System,US-13,US 13 South,T,R-2507A,A,2016,20400013046,0.090426000000000,0.180852000000000,0.000000000000000,0.090426000000000,BC000037,Pseudo,20600158046,0.000000000000000,0.090426000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, , , , , ,Partial,12/31/1901 0:00:00, , ,Y, ,0.000000000000000,60, ,3,,0, ,12/5/2014 0:00:00,R-2507A,TIP,MI,12,6,Bitum,6, ,0,0,RPB,14,1,, ,0,0, ,160,6,Bitum,6, ,0,0,55,0,,1,S9.5C,3.000000000000000,AC_AC,36,1,2, ,0, ,0, , ,0,, ,0,0,475.331078379000019,34754,34754,5,131.927948065000010,0.293170641149000
3,57,1,008,008,2,17,0,4,SB,One-way,System,US-17,US 17 Hwy N,N, ,N, ,20400017008,0.684180000000000,1.368360000000000,0.000000000000000,0.684180000000000,BC000021,Pseudo, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, , , , , ,Full,12/31/2000 0:00:00, , ,Y, ,0.000000000000000,0, ,3,,0, ,, , , ,0,0, ,0, ,0,0,RPB,5,11,, ,0,0, ,0,0, ,0, ,0,0,55,0,,0, ,0.000000000000000,Bitum,26,1,2, ,0, ,0, , ,5,1/6/1983 0:00:00, ,0,0,3610.696480560000055,34754,34754,5,131.927948065000010,0.293170641149000
4,105,1,058,058,2,13,0,4,SB,One-way,System,US-13,East Boulevard,N, ,N, ,20400013058,0.001995000000000,0.003990000000000,0.000000000000000,0.001995000000000,BC000008,Pseudo,20400017058,0.000000000000000,0.001995000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, , , , , , ,12/31/1901 0:00:00, , ,Y, ,0.000000000000000,70, ,3,,0, ,12/31/1992 0:00:00, , ,RS,0,0, ,0, ,0,0,Grass,50,1,, ,0,0, ,120,2,Bitum,10, ,0,0,35,0,,1, ,0.000000000000000,Bitum,24,1,2, ,0, ,4,0140,Williamston,5,1/1/1911 0:00:00, ,0,0,10.173566764500000,34754,34754,5,131.927948065000010,0.293170641149000
5,114,1,094,094,2,64,0,0,EB,One-way,System,US-64,US Hwy 64 West,N, ,N, ,20000064094,0.030737000000000,0.061474000000000,0.000000000000000,0.030737000000000,BC000058,Pseudo, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000,7800,2020,1360,850,510, ,12/31/1901 0:00:00, , ,Y, ,0.000000000000000,70, ,3,,0, ,12/31/1998 0:00:00, , ,RS,0,2,Bitum,12, ,0,0,SRPB,8,1,, ,0,0, ,80,2,Bitum,13, ,0,0,50,0,,0, ,0.000000000000000,Bitum,24,1,2, ,0, ,0, , ,0,, ,0,0,161.871524316999995,34754,34754,5,131.927948065000010,0.293170641149000
6,118,1,037,037,2,13,0,0,NB,One-way,System,US-13, ,T,R-2507A,A,2016,20000013037,0.120428000000000,0.240856000000000,0.000000000000000,0.120428000000000,BC000046,Pseudo,20000158037,0.000000000000000,0.120428000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000,7300,2020,1620,1200,420,Partial,12/5/2014 0:00:00,R-2507A,Petition,Y, ,0.000000000000000,60, ,3,,0, ,12/5/2014 0:00:00,R-2507A,TIP,MA,12,4,Bitum,4, ,0,0,RPB,14,0,, ,0,0, ,160,6,Bitum,6, ,0,0,60,0,,0,S9.5C,3.000000000000000,Bitum,34,1,2, ,0, ,0, , ,0,, ,0,0,634.629042946000027,34754,34754,5,131.927948065000010,0.293170641149000
7,123,1,089,089,2,64,9,0,BD,Both,System,US-64 BUS,S Broad St,N, ,N, ,29000064089,0.090000000000000,0.180000000000000,0.000000000000000,0.090000000000000,20000064089,Pseudo, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000,1000,2020,58,5,53, ,12/31/1930 0:00:00, , , , ,0.000000000000000,0, ,5,,0, ,, , , ,0,0,Curb-Con,0, ,0,0, ,0,0,, ,0,0, ,0,0,Curb-Con,0, ,0,0,20,0,,0, ,0.000000000000000,Bitum,40,1,2, ,0, ,1,0107,Columbia,0,, ,0,0,462.909768432000021,34754,34754,5,131.927948065000010,0.293170641149000
8,126,1,058,058,2,64,0,6,WB,One-way,System,US-64,US Hwy 64,N, ,N, ,20600064058,0.030074000000000,0.060148000000000,0.000000000000000,0.030074000000000,BC000094,40001591058, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, , , , , , ,12/31/1901 0:00:00, , ,Y, ,0.000000000000000,69, ,3,,0, ,12/31/2004 0:00:00, , ,RS,0,0, ,0, ,0,0,Grass,15,1,, ,0,0, ,80,0, ,0, ,0,0,55,0,,0, ,0.000000000000000,Bitum,24,1,2, ,0, ,0, , ,0,, ,0,0,155.174039375000007,34754,34754,5,131.927948065000010,0.293170641149000
9,134,2,074,074,2,264,0,6, , ,System,US-264,US-264 WB,T,R-2250, , ,20600264074,0.007525000000000,0.015050000000000,0.000000000000000,0.007525000000000,BC000007,Pseudo, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, , , , , , ,12/31/1901 0:00:00, , ,Y, ,0.000000000000000,70, ,3,,0, ,12/31/1992 0:00:00, , ,RS,0,0,Grass,0, ,0,0,Grass,12,1,, ,0,0, ,160,0,Grass,9, ,0,0,55,0,,0, ,0.000000000000000,Bitum,28,1,2, ,0, ,0, , ,5,1/6/1983 0:00:00, ,0,0,39.987412878999997,34754,34754,5,131.927948065000010,0.293170641149000
