FID,FID_Divisi,Division,MaintCntyC,LocCntyCod,RouteClass,RouteNumbe,RouteQuali,RouteInven,Direction,TravelDire,RouteMaint,RouteName,StreetName,SrcDocType,SrcDocID,GeoDocType,GeoDocID,RouteID,MPLength,LaneMiles,BeginMp1,EndMp1,BeginFeatu,EndFeature,RouteID2,BeginMp2,EndMp2,RouteID3,BeginMp3,EndMp3,RouteID4,BeginMp4,EndMp4,RouteID5,BeginMp5,EndMp5,RouteID6,BeginMp6,EndMp6,AADT,AadtDate,AADTTruck,AadttMulti,AadttSingl,AccessCont,AddDate,AddDocID,AddDocType,BarePvmtRo,BaseDetail,BaseThickn,DesignSpd,FcltyType,FuncClass,FuncClassD,HOVLnCount,HOVType,ImprvDate,ImprvDocID,ImprvDocTy,ImprvType,LaneWidth,LftPvdShld,LftShldrTy,LftShldrWi,LftTrnLnTy,LftTrnLnWi,MaintOps,MedianType,MedianWidt,NHS,NHSDate,OwnerName,OwnerType,PeakLanes,PostedRout,ROW,RtPvdShldr,RtShldrTyp,RtShldrWid,RtTrnLnTyp,RtTrnLnWid,SampleID,SpeedLimit,MilitaryBa,STRAHNETDa,STRAHNETTy,SrfcDetail,SrfcThickn,SrfcType,SrfcWidth,TerrainTyp,ThruLaneCo,TollCharge,TollID,TollType,MunPopGrou,TownCode,TownName,TrkRoute,TrkRouteDa,UrbanType,UrbanID,UrbanPop,Shape_Leng,FID_NC_N_s,Id,gridcode,Shape_Le_1,Shape_Area
10,152,1,037,037,2,13,0,0,NB,One-way,System,US-13, ,T,R-2507A,A,2016,20000013037,0.120428000000000,0.240856000000000,0.000000000000000,0.120428000000000,BC000046,Pseudo,20000158037,0.000000000000000,0.120428000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000,7300,2020,1620,1200,420,Partial,12/5/2014 0:00:00,R-2507A,Petition,Y, ,0.000000000000000,60, ,3,,0, ,12/5/2014 0:00:00,R-2507A,TIP,MA,12,4,Bitum,4, ,0,0,RPB,14,0,, ,0,0, ,160,6,Bitum,6, ,0,0,60,0,,0,S9.5C,3.000000000000000,Bitum,34,1,2, ,0, ,0, , ,0,, ,0,0,634.629042946000027,11016,11016,9,0.000161696751320,0.000000001452547
11,152,1,037,037,2,13,0,0,NB,One-way,System,US-13, ,T,R-2507A,A,2016,20000013037,0.120428000000000,0.240856000000000,0.000000000000000,0.120428000000000,BC000046,Pseudo,20000158037,0.000000000000000,0.120428000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000,7300,2020,1620,1200,420,Partial,12/5/2014 0:00:00,R-2507A,Petition,Y, ,0.000000000000000,60, ,3,,0, ,12/5/2014 0:00:00,R-2507A,TIP,MA,12,4,Bitum,4, ,0,0,RPB,14,0,, ,0,0, ,160,6,Bitum,6, ,0,0,60,0,,0,S9.5C,3.000000000000000,Bitum,34,1,2, ,0, ,0, , ,0,, ,0,0,634.629042946000027,46385,46385,9,131.805004634999989,0.262559669123000
12,161,1,070,070,2,17,0,4,SB,One-way,System,US-17,US 17 North,N, ,A,2012,20400017070,0.508566000000000,1.017132000000000,0.000000000000000,0.508566000000000,BC000015,20000158070, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, , , , , ,Partial,12/31/1984 0:00:00, , ,Y, ,0.000000000000000,69, ,3,,0, ,12/31/2004 0:00:00, , ,RS,0,0, ,0, ,0,0,Grass,21,11,, ,0,0, ,180,0, ,0, ,0,0,55,0,,0, ,0.000000000000000,Bitum,24,1,2, ,0, ,0, , ,5,1/6/1983 0:00:00, ,0,0,2686.335564940000040,46385,46385,9,131.805004634999989,0.262559669123000
13,180,1,015,015,2,17,9,0,NB,One-way,System,US-17 BUS,Main St,T,W-5601BL,A,2016,29000017015,0.043907000000000,0.043907000000000,0.000000000000000,0.043907000000000,20000017015,29400017015, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000,3200,2020,227,47,180, ,, , , , ,0.000000000000000,0, ,5,,0, ,10/24/2016 0:00:00,W-5601BL,TIP,RE,12,0,Curb-Con,0, ,0,0,PM,20,0,, ,0,0, ,50,2,Bitum,8, ,0,0,45,0,,0,S9.5B,1.500000000000000,Bitum,14,1,1, ,0, ,0, , ,0,, ,0,0,231.748084427999999,46385,46385,9,131.805004634999989,0.262559669123000
14,185,1,027,027,3,34,0,0,BD,Both,System,NC-34,Shawboro Rd,N, ,N, ,30000034027,0.680061000000000,1.360122000000000,0.000000000000000,0.680061000000000,BC000015,40001148027, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000,4000,2020,400,120,280, ,12/31/1901 0:00:00, , ,Y, ,0.000000000000000,69, ,5,,0, ,12/31/2005 0:00:00, , ,MI,0,0,Grass,6, ,0,0, ,0,0,, ,0,0, ,100,0,Grass,6, ,0,104326,55,0,,0, ,0.000000000000000,Bitum,26,1,2, ,0, ,0, , ,0,, ,0,0,3605.738348949999818,46385,46385,9,131.805004634999989,0.262559669123000
15,192,1,021,021,2,17,0,0,NB,One-way,System,US-17,Ocean Hwy,N, ,A,2009,20000017021,0.714553000000000,1.429106000000000,0.000000000000000,0.714553000000000,BC000008,Pseudo, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000,8900,2020,1860,880,980,Full,12/31/2000 0:00:00, , ,Y, ,0.000000000000000,70, ,3,,0, ,12/31/2000 0:00:00, , ,NL,0,0,Curb-Con,0, ,0,0, ,0,11,, ,0,0, ,30,0,Curb-Con,0, ,0,0,70,0,,0, ,0.000000000000000,Bitum,30,1,2, ,0, ,0, , ,5,1/6/1983 0:00:00, ,0,0,3774.910811119999835,46385,46385,9,131.805004634999989,0.262559669123000
16,206,1,021,021,4,1103,0,0,BD,Both,System,SR-1103,Hobbs Ln,N, ,N, ,40001103021,0.785000000000000,1.570000000000000,0.000000000000000,0.785000000000000,30000032021,90001103021, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, , , , , , ,12/31/1950 0:00:00, , , , ,0.000000000000000,0, ,5,,0, ,, , , ,0,0, ,0, ,0,0, ,0,0,, ,0,0, ,0,0, ,0, ,0,0,55,0,,0, ,0.000000000000000,Unpaved,12,1,2, ,0, ,0, , ,0,, ,0,0,4144.170022219999737,46385,46385,9,131.805004634999989,0.262559669123000
17,272,1,015,015,2,158,0,0,EB,One-way,System,US-158,US 158 West,O,HTO02_15_2005,A,2010,20000158015,0.051111000000000,0.102222000000000,0.000000000000000,0.051111000000000,BC000070,Pseudo, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000,17000,2020,1370,430,940, ,12/31/1901 0:00:00, , ,Y, ,0.000000000000000,40, ,4,,0, ,1/8/2017 0:00:00,U-4438,TIP,BR,12,0,Curb-Con,0, ,0,0, ,0,1,, ,0,0, ,100,0,Curb-Con,0, ,0,0,45,0,,0,JCP,10.500000000000000,JPCP,24,1,2, ,0, ,0, , ,0,,Urban Cluster,26686,3,269.115376099999992,46385,46385,9,131.805004634999989,0.262559669123000
18,286,1,027,027,2,158,0,6,WB,One-way,System,US-158,Caratoke Hwy,N, ,N, ,20600158027,1.391220000000000,2.782440000000000,0.000000000000000,1.391220000000000,BC000028,Pseudo, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, , , , , , ,12/31/1995 0:00:00, , ,Y, ,0.000000000000000,70, ,4,,0, ,12/31/1997 0:00:00, , ,RS,0,0,Curb-Con,0, ,0,0, ,0,1,, ,0,0, ,180,0,Curb-Con,0, ,0,0,55,0,,0, ,0.000000000000000,AC_AC,36,1,2, ,0, ,0, , ,0,,Urban Cluster,44965,3,7339.132662940000046,46385,46385,9,131.805004634999989,0.262559669123000
19,298,1,021,021,3,32,0,0,BD,Both,System,NC-32,Haughton Rd,O,HTO_021_12-16,N, ,30000032021,1.514466000000000,3.028932000000000,0.000000000000000,1.514466000000000,BC000094,Pseudo,30000037021,0.000000000000000,1.514466000000000,30000094021,0.000000000000000,1.514466000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000,3100,2020,370,230,140, ,12/31/1901 0:00:00, , ,Y, ,0.000000000000000,70, ,5,,0, ,, , , ,0,0,Curb-Con,0, ,0,0, ,0,0,, ,0,0, ,60,0,Curb-Con,0, ,0,0,35,0,,0, ,0.000000000000000,JPCP,22,1,2, ,0, ,0, , ,0,, ,0,0,7997.232556070000101,46385,46385,9,131.805004634999989,0.262559669123000
