FID,FID_Divisi,Division,MaintCntyC,LocCntyCod,RouteClass,RouteNumbe,RouteQuali,RouteInven,Direction,TravelDire,RouteMaint,RouteName,StreetName,SrcDocType,SrcDocID,GeoDocType,GeoDocID,RouteID,MPLength,LaneMiles,BeginMp1,EndMp1,BeginFeatu,EndFeature,RouteID2,BeginMp2,EndMp2,RouteID3,BeginMp3,EndMp3,RouteID4,BeginMp4,EndMp4,RouteID5,BeginMp5,EndMp5,RouteID6,BeginMp6,EndMp6,AADT,AadtDate,AADTTruck,AadttMulti,AadttSingl,AccessCont,AddDate,AddDocID,AddDocType,BarePvmtRo,BaseDetail,BaseThickn,DesignSpd,FcltyType,FuncClass,FuncClassD,HOVLnCount,HOVType,ImprvDate,ImprvDocID,ImprvDocTy,ImprvType,LaneWidth,LftPvdShld,LftShldrTy,LftShldrWi,LftTrnLnTy,LftTrnLnWi,MaintOps,MedianType,MedianWidt,NHS,NHSDate,OwnerName,OwnerType,PeakLanes,PostedRout,ROW,RtPvdShldr,RtShldrTyp,RtShldrWid,RtTrnLnTyp,RtTrnLnWid,SampleID,SpeedLimit,MilitaryBa,STRAHNETDa,STRAHNETTy,SrfcDetail,SrfcThickn,SrfcType,SrfcWidth,TerrainTyp,ThruLaneCo,TollCharge,TollID,TollType,MunPopGrou,TownCode,TownName,TrkRoute,TrkRouteDa,UrbanType,UrbanID,UrbanPop,Shape_Leng,FID_NC_N_s,Id,gridcode,Shape_Le_1,Shape_Area
10,272,1,015,015,2,158,0,0,EB,One-way,System,US-158,US 158 West,O,HTO02_15_2005,A,2010,20000158015,0.051111000000000,0.102222000000000,0.000000000000000,0.051111000000000,BC000070,Pseudo, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000,17000,2020,1370,430,940, ,12/31/1901 0:00:00, , ,Y, ,0.000000000000000,40, ,4,,0, ,1/8/2017 0:00:00,U-4438,TIP,BR,12,0,Curb-Con,0, ,0,0, ,0,1,, ,0,0, ,100,0,Curb-Con,0, ,0,0,45,0,,0,JCP,10.500000000000000,JPCP,24,1,2, ,0, ,0, , ,0,,Urban Cluster,26686,3,269.115376099999992,26885,26885,17,97.239952526300002,0.199986050541000
11,286,1,027,027,2,158,0,6,WB,One-way,System,US-158,Caratoke Hwy,N, ,N, ,20600158027,1.391220000000000,2.782440000000000,0.000000000000000,1.391220000000000,BC000028,Pseudo, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, , , , , , ,12/31/1995 0:00:00, , ,Y, ,0.000000000000000,70, ,4,,0, ,12/31/1997 0:00:00, , ,RS,0,0,Curb-Con,0, ,0,0, ,0,1,, ,0,0, ,180,0,Curb-Con,0, ,0,0,55,0,,0, ,0.000000000000000,AC_AC,36,1,2, ,0, ,0, , ,0,,Urban Cluster,44965,3,7339.132662940000046,26885,26885,17,97.239952526300002,0.199986050541000
12,298,1,021,021,3,32,0,0,BD,Both,System,NC-32,Haughton Rd,O,HTO_021_12-16,N, ,30000032021,1.514466000000000,3.028932000000000,0.000000000000000,1.514466000000000,BC000094,Pseudo,30000037021,0.000000000000000,1.514466000000000,30000094021,0.000000000000000,1.514466000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000,3100,2020,370,230,140, ,12/31/1901 0:00:00, , ,Y, ,0.000000000000000,70, ,5,,0, ,, , , ,0,0,Curb-Con,0, ,0,0, ,0,0,, ,0,0, ,60,0,Curb-Con,0, ,0,0,35,0,,0, ,0.000000000000000,JPCP,22,1,2, ,0, ,0, , ,0,, ,0,0,7997.232556070000101,26885,26885,17,97.239952526300002,0.199986050541000
13,383,1,070,070,4,1103,0,0,BD,Both,System,SR-1103,Esclip Rd,N, ,A,2012,40001103070,1.222000000000000,2.444000000000000,0.000000000000000,1.222000000000000,30000344070,40001112070, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000,700,2020,0,0,0, ,12/31/1930 0:00:00, , , , ,0.000000000000000,50, ,6,,0, ,12/31/1982 0:00:00, , ,RS,0,0,Grass,4, ,0,0, ,0,0,, ,0,0, ,60,0,Grass,4, ,0,0,55,0,,0, ,0.000000000000000,Bitum,20,1,2, ,0, ,0, , ,0,, ,0,0,6451.875142480000250,26885,26885,17,97.239952526300002,0.199986050541000
14,413,1,021,021,4,1101,0,0,BD,Both,System,SR-1101,Burnt Mill Rd,N, ,N, ,40001101021,0.960000000000000,1.920000000000000,0.000000000000000,0.960000000000000,BC000072,Pseudo, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000,300,2020,0,0,0, ,12/31/1930 0:00:00, , , , ,0.000000000000000,0, ,7,,0, ,12/31/1991 0:00:00, , ,RS,0,0,Grass,4, ,0,0, ,0,0,, ,0,0, ,0,0,Grass,4, ,0,0,55,0,,0, ,0.000000000000000,Bitum,18,1,2, ,0, ,0, , ,0,, ,0,0,5080.352407600000333,26885,26885,17,97.239952526300002,0.199986050541000
15,418,1,015,015,4,1103,0,0,BD,Both,System,SR-1103,Beech Neck Rd,N, ,N, ,40001103015,0.347479000000000,0.694958000000000,0.000000000000000,0.347479000000000,40001100015,50099920015, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, , , , , , ,12/31/1930 0:00:00, , , , ,0.000000000000000,0, ,7,,0, ,, , , ,0,0, ,0, ,0,0, ,0,0,, ,0,0, ,0,0, ,0, ,0,0,55,0,,0, ,0.000000000000000,Unpaved,14,1,2, ,0, ,0, , ,0,, ,0,0,1846.634321179999915,16469,16469,17,0.000161696751093,0.000000001452547
17,419,1,015,015,4,1101,0,0,BD,Both,System,SR-1101,One Mill Rd,N, ,N, ,40001101015,0.577500000000000,1.155000000000000,0.000000000000000,0.577500000000000,40001100015,Pseudo, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000,200,2020,0,0,0, ,12/31/1930 0:00:00, , , , ,0.000000000000000,0, ,7,,0, ,12/31/1984 0:00:00, , ,RS,0,0,Grass,6, ,0,0, ,0,0,, ,0,0, ,0,0,Grass,6, ,0,0,55,0,,0, ,0.000000000000000,Bitum,16,1,2, ,0, ,0, , ,0,, ,0,0,3046.444264709999970,26885,26885,17,97.239952526300002,0.199986050541000
18,422,1,015,015,4,1105,0,0,BD,Both,System,SR-1105,Wesley Rd,N, ,N, ,40001105015,0.680000000000000,1.360000000000000,0.000000000000000,0.680000000000000,30000343015,DEAD-END, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, , , , , , ,12/31/1939 0:00:00, , , , ,0.000000000000000,0, ,7,,0, ,, , , ,0,0, ,0, ,0,0, ,0,0,, ,0,0, ,0,0, ,0, ,0,0,55,0,,0, ,0.000000000000000,Unpaved,16,1,2, ,0, ,0, , ,0,, ,0,0,3582.839147189999949,15694,15694,17,0.000215595667896,0.000000002178820
20,433,1,015,015,4,1104,0,0,BD,Both,System,SR-1104,Wharf Rd,N, ,N, ,40001104015,0.962500000000000,1.925000000000000,0.000000000000000,0.962500000000000,30000343015,Pseudo, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000,100,2020,0,0,0, ,12/31/1930 0:00:00, , , , ,0.000000000000000,0, ,7,,0, ,, , , ,0,0,Grass,0, ,0,0, ,0,0,, ,0,0, ,0,0,Grass,0, ,0,0,55,0,,0, ,0.000000000000000,AC_AC,18,1,2, ,0, ,0, , ,0,, ,0,0,5066.799146909999763,26885,26885,17,97.239952526300002,0.199986050541000
21,464,1,070,070,3,344,0,0,BD,Both,System,NC-344,Soundneck Rd,O,HTO2_15_2005,A,2012,30000344070,0.015000000000000,0.030000000000000,0.000000000000000,0.015000000000000,DEAD-END,40001218070, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000,350,2020,26,6,20, ,12/31/1901 0:00:00, , , , ,0.000000000000000,45, ,5,,0, ,12/31/1991 0:00:00, , ,RS,0,0,Grass,5, ,0,0, ,0,0,, ,0,0, ,60,0,Grass,5, ,0,0,55,0,,0, ,0.000000000000000,Bitum,18,1,2, ,0, ,0, , ,0,, ,0,0,76.808857218499995,26885,26885,17,97.239952526300002,0.199986050541000
