FID,FID_Divisi,Division,MaintCntyC,LocCntyCod,RouteClass,RouteNumbe,RouteQuali,RouteInven,Direction,TravelDire,RouteMaint,RouteName,StreetName,SrcDocType,SrcDocID,GeoDocType,GeoDocID,RouteID,MPLength,LaneMiles,BeginMp1,EndMp1,BeginFeatu,EndFeature,RouteID2,BeginMp2,EndMp2,RouteID3,BeginMp3,EndMp3,RouteID4,BeginMp4,EndMp4,RouteID5,BeginMp5,EndMp5,RouteID6,BeginMp6,EndMp6,AADT,AadtDate,AADTTruck,AadttMulti,AadttSingl,AccessCont,AddDate,AddDocID,AddDocType,BarePvmtRo,BaseDetail,BaseThickn,DesignSpd,FcltyType,FuncClass,FuncClassD,HOVLnCount,HOVType,ImprvDate,ImprvDocID,ImprvDocTy,ImprvType,LaneWidth,LftPvdShld,LftShldrTy,LftShldrWi,LftTrnLnTy,LftTrnLnWi,MaintOps,MedianType,MedianWidt,NHS,NHSDate,OwnerName,OwnerType,PeakLanes,PostedRout,ROW,RtPvdShldr,RtShldrTyp,RtShldrWid,RtTrnLnTyp,RtTrnLnWid,SampleID,SpeedLimit,MilitaryBa,STRAHNETDa,STRAHNETTy,SrfcDetail,SrfcThickn,SrfcType,SrfcWidth,TerrainTyp,ThruLaneCo,TollCharge,TollID,TollType,MunPopGrou,TownCode,TownName,TrkRoute,TrkRouteDa,UrbanType,UrbanID,UrbanPop,Shape_Leng,FID_NC_S1_,Id,gridcode,Shape_Le_1,Shape_Area
10,154,3,071,071,3,50,0,0,BD,Both,System,NC-50,S Anderson Blvd,N, ,A,2010,30000050071,0.124000000000000,0.248000000000000,0.000000000000000,0.124000000000000,40001555071,40001556071, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000,3200,2020,204,34,170, ,12/31/1901 0:00:00, , ,Y, ,0.000000000000000,0, ,5,,0, ,12/31/1988 0:00:00, , ,RE,0,0,Grass,6, ,0,0, ,0,0,, ,0,0, ,100,0,Grass,6, ,0,0,35,0,,0, ,0.000000000000000,Bitum,19,1,2, ,0, ,1,0340,Topsail Beach,0,, ,0,0,656.737374219000003,2814,2814,402,66.865110026599993,0.155582725578000
11,159,3,065,065,1,140,0,0,EB,One-way,System,I-140, ,O,HTO_065_08-18,O,DGN,10000140065,0.056567000000000,0.113134000000000,0.000000000000000,0.056567000000000,BC000010,Pseudo, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000,13500,2020,1460,790,670,Full,, , ,Y, ,0.000000000000000,0, ,1,,0, ,, , , ,0,0, ,0, ,0,0,SRPB,20,1,, ,0,0, ,0,0, ,0, ,0,0,70,0,,0,S9.5C,3.000000000000000,Bitum,0,1,2, ,0, ,0, , ,5,1/6/1983 0:00:00,Urbanized Area,95833,7,298.673013398000023,2814,2814,402,66.865110026599993,0.155582725578000
12,195,3,065,065,1,40,0,0,EB,One-way,System,I-40,E 0,N, ,A,2012,10000040065,0.085178000000000,0.170356000000000,0.000000000000000,0.085178000000000,BC000071,Pseudo, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000,28500,2020,2570,1540,1030,Full,12/31/1985 0:00:00, , ,Y, ,0.000000000000000,70, ,1,,0, ,12/31/1985 0:00:00, , ,NL,0,6,Concrete,6, ,0,0,SRPB,23,1,, ,0,0, ,160,6,Concrete,6, ,0,100077,55,0,,1, ,0.000000000000000,Bitum,24,1,2, ,0, ,0, , ,5,1/6/1983 0:00:00,Urbanized Area,95833,7,448.942038819999993,2814,2814,402,66.865110026599993,0.155582725578000
13,320,3,071,071,4,1002,0,0,BD,Both,System,SR-1002,Island Creek Rd,N, ,N, ,40001002071,0.012428000000000,0.024856000000000,0.000000000000000,0.012428000000000,BC000065,Pseudo, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000,3400,2020,0,0,0, ,12/31/1930 0:00:00, , , , ,0.000000000000000,60, ,6,,0, ,12/26/2014 0:00:00,B-4591,TIP,BR,12,4,Bitum,4, ,0,0, ,0,0,, ,0,0,78-007,60,4,Bitum,4, ,0,0,55,0,,0,S9.5B,3.000000000000000,Bitum,32,1,2, ,0, ,0, , ,0,, ,0,0,65.631981247900001,2814,2814,402,66.865110026599993,0.155582725578000
14,346,3,010,010,4,1104,0,0,BD,Both,System,SR-1104,SE 58th St,N, ,N, ,40001104010,0.179364000000000,0.358728000000000,0.000000000000000,0.179364000000000,40001190010,50097855010, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000,2200,2020,0,0,0, ,12/31/1959 0:00:00, , , , ,0.000000000000000,0, ,7,,0, ,12/31/1991 0:00:00, , ,RS,0,0,Grass,4, ,0,0, ,0,0,, ,0,0, ,60,0,Grass,4, ,0,0,35,0,,0, ,0.000000000000000,Bitum,20,1,2, ,0, ,4,0354,Oak Island,0,,Urban Cluster,64459,3,947.083090919000028,2814,2814,402,66.865110026599993,0.155582725578000
15,366,3,010,010,5,98933,0,0,BD,Both,Non-System,NS-98933,Bayberry Dr, , , , ,50098933010,0.032895000000000,0.032895000000000,0.000000000000000,0.032895000000000,50094519010,50097381010, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, , , , , , ,, , , , ,0.000000000000000,0, ,7,,0, ,, , , ,0,0, ,0, ,0,0, ,0,0,, ,98,0, ,0,0, ,0, ,0,0,0,0,,0, ,0.000000000000000,Bitum,0,1,1, ,0, ,1,0337,Ocean Isle Beach,0,, ,0,0,173.662351814000004,2814,2814,402,66.865110026599993,0.155582725578000
16,373,3,071,071,5,98947,0,0,BD,Both,Non-System,NS-98947,N Oak Dr, , , , ,50098947071,0.104407000000000,0.208814000000000,0.000000000000000,0.104407000000000,50098345071,50098607071, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, , , , , , ,, , , , ,0.000000000000000,0, ,7,,0, ,, , , ,0,0, ,0, ,0,0, ,0,0,, ,98,0, ,0,0, ,0, ,0,0,0,0,,0, ,0.000000000000000,Bitum,0,1,2, ,0, ,3,0334,Surf City,0,, ,0,0,551.219689610000046,2814,2814,402,66.865110026599993,0.155582725578000
17,377,3,071,071,5,98935,0,0,BD,Both,Non-System,NS-98935,Neptune Pl, , , , ,50098935071,0.046506000000000,0.093012000000000,0.000000000000000,0.046506000000000,50098945071,50099598071, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, , , , , , ,, , , , ,0.000000000000000,0, ,7,,0, ,, , , ,0,0, ,0, ,0,0, ,0,0,, ,4,0, ,0,0, ,0, ,0,0,0,0,,0, ,0.000000000000000,Bitum,0,1,2, ,0, ,3,0334,Surf City,0,, ,0,0,245.523610060000010,2814,2814,402,66.865110026599993,0.155582725578000
18,538,3,065,065,5,98957,0,0,BD,Both,Non-System,NS-98957,Cape Landing Rd, , ,A,2016,50098957065,0.153981000000000,0.153981000000000,0.000000000000000,0.153981000000000,40002896065,50099435065, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, , , , , , ,, , , , ,0.000000000000000,0, ,7,,0, ,, , , ,0,0, ,0, ,0,0, ,0,0,, ,98,0, ,0,0, ,0, ,0,0,0,0,,0, ,0.000000000000000, ,0,1,0, ,0, ,0, , ,0,,Urbanized Area,95833,7,812.082310949999965,2814,2814,402,66.865110026599993,0.155582725578000
19,592,3,071,071,4,1102,0,0,BD,Both,System,SR-1102,Morgan Rd,N, ,N, ,40001102071,2.524000000000000,5.048000000000000,0.000000000000000,2.524000000000000,30400210071,Pseudo, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000,150,2020,0,0,0, ,12/31/1935 0:00:00, , , , ,0.000000000000000,0, ,7,,0, ,, , , ,0,0,Grass,6, ,0,0, ,0,0,, ,0,0, ,60,0,Grass,6, ,0,0,55,0,,0, ,0.000000000000000,AC_AC,20,1,2, ,0, ,0, , ,0,, ,0,0,13328.120834200000900,2814,2814,402,66.865110026599993,0.155582725578000
