FID,FID_Divisi,Division,MaintCntyC,LocCntyCod,RouteClass,RouteNumbe,RouteQuali,RouteInven,Direction,TravelDire,RouteMaint,RouteName,StreetName,SrcDocType,SrcDocID,GeoDocType,GeoDocID,RouteID,MPLength,LaneMiles,BeginMp1,EndMp1,BeginFeatu,EndFeature,RouteID2,BeginMp2,EndMp2,RouteID3,BeginMp3,EndMp3,RouteID4,BeginMp4,EndMp4,RouteID5,BeginMp5,EndMp5,RouteID6,BeginMp6,EndMp6,AADT,AadtDate,AADTTruck,AadttMulti,AadttSingl,AccessCont,AddDate,AddDocID,AddDocType,BarePvmtRo,BaseDetail,BaseThickn,DesignSpd,FcltyType,FuncClass,FuncClassD,HOVLnCount,HOVType,ImprvDate,ImprvDocID,ImprvDocTy,ImprvType,LaneWidth,LftPvdShld,LftShldrTy,LftShldrWi,LftTrnLnTy,LftTrnLnWi,MaintOps,MedianType,MedianWidt,NHS,NHSDate,OwnerName,OwnerType,PeakLanes,PostedRout,ROW,RtPvdShldr,RtShldrTyp,RtShldrWid,RtTrnLnTyp,RtTrnLnWid,SampleID,SpeedLimit,MilitaryBa,STRAHNETDa,STRAHNETTy,SrfcDetail,SrfcThickn,SrfcType,SrfcWidth,TerrainTyp,ThruLaneCo,TollCharge,TollID,TollType,MunPopGrou,TownCode,TownName,TrkRoute,TrkRouteDa,UrbanType,UrbanID,UrbanPop,Shape_Leng,FID_NC_M1_,Id,gridcode,Shape_Le_1,Shape_Area
1122,92300,1,089,089,2,64,0,0,EB,One-way,System,US-64,Hwy 64 W,N, ,N, ,20000064089,0.022000000000000,0.044000000000000,1.308034000000000,1.330034000000000,Pseudo,40001116089, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000,6100,2020,610,280,330,Full,12/31/2005 0:00:00, , ,Y, ,0.000000000000000,69, ,2,,0, ,12/31/2005 0:00:00, , ,NL,0,4,Bitum,12, ,0,0,Grass,23,1,, ,0,0, ,100,4,Bitum,12, ,0,104595,70,0,,0, ,0.000000000000000,Bitum,24,1,2, ,0, ,0, , ,0,, ,0,0,115.830382951000004,59359,59359,1,220.687714478000004,0.240147358329000
1123,92412,2,007,007,4,1721,0,0,BD,Both,System,SR-1721,Little Creek Rd Ext,N, ,N, ,40001721007,0.051126000000000,0.102252000000000,1.293874000000000,1.345000000000000,50099141007,DEAD-END, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, , , , , , ,12/31/2005 0:00:00, , , , ,0.000000000000000,0, ,7,,0, ,, , , ,0,0,Grass,0, ,0,0, ,0,0,, ,0,0, ,60,0,Grass,0, ,0,0,55,0,,0, ,0.000000000000000,Bitum,20,1,2, ,0, ,0, , ,0,, ,0,0,269.913072204999992,59359,59359,1,220.687714478000004,0.240147358329000
1124,92574,2,007,007,4,1730,0,0,BD,Both,System,SR-1730,Old Pamlico Beach Rd W,N, ,N, ,40001730007,0.046350000000000,0.092700000000000,1.342085000000000,1.388435000000000,50099585007,50099191007, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000,400,2020,0,0,0, ,12/31/1930 0:00:00, , , , ,0.000000000000000,0, ,7,,0, ,12/31/1974 0:00:00, , ,RS,0,0,Grass,4, ,0,0, ,0,0,, ,0,0,77-001,0,0,Grass,4, ,0,0,45,0,,0, ,0.000000000000000,AC_AC,16,1,2, ,0, ,0, , ,0,, ,0,0,245.055393779000013,59094,59094,1,0.001778664262360,0.000000036313666
1125,92574,2,007,007,4,1730,0,0,BD,Both,System,SR-1730,Old Pamlico Beach Rd W,N, ,N, ,40001730007,0.046350000000000,0.092700000000000,1.342085000000000,1.388435000000000,50099585007,50099191007, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000,400,2020,0,0,0, ,12/31/1930 0:00:00, , , , ,0.000000000000000,0, ,7,,0, ,12/31/1974 0:00:00, , ,RS,0,0,Grass,4, ,0,0, ,0,0,, ,0,0,77-001,0,0,Grass,4, ,0,0,45,0,,0, ,0.000000000000000,AC_AC,16,1,2, ,0, ,0, , ,0,, ,0,0,245.055393779000013,59097,59097,1,0.000808483755691,0.000000014525466
1126,92574,2,007,007,4,1730,0,0,BD,Both,System,SR-1730,Old Pamlico Beach Rd W,N, ,N, ,40001730007,0.046350000000000,0.092700000000000,1.342085000000000,1.388435000000000,50099585007,50099191007, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000,400,2020,0,0,0, ,12/31/1930 0:00:00, , , , ,0.000000000000000,0, ,7,,0, ,12/31/1974 0:00:00, , ,RS,0,0,Grass,4, ,0,0, ,0,0,, ,0,0,77-001,0,0,Grass,4, ,0,0,45,0,,0, ,0.000000000000000,AC_AC,16,1,2, ,0, ,0, , ,0,, ,0,0,245.055393779000013,59359,59359,1,220.687714478000004,0.240147358329000
1127,92854,1,094,094,4,1150,0,0,BD,Both,System,SR-1150,Gus Town Rd,N, ,N, ,40001150094,0.330000000000000,0.660000000000000,1.340000000000000,1.670000000000000,40001151094,40001149094, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, , , , , , ,12/31/1931 0:00:00, , , , ,0.000000000000000,0, ,7,,0, ,12/31/2002 0:00:00, , ,IP,0,0,Grass,0, ,0,0, ,0,0,, ,0,0, ,0,0,Grass,0, ,0,0,55,0,,0, ,0.000000000000000,Bitum,20,1,2, ,0, ,0, , ,0,, ,0,0,1733.468471500000078,59359,59359,1,220.687714478000004,0.240147358329000
1128,92886,2,007,007,4,1626,0,0,BD,Both,System,SR-1626,Morning Star Rd,N, ,A,2007,40001626007,1.545410000000000,3.090820000000000,1.335047000000000,2.880457000000000,Pseudo,Pseudo, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, , , , , , ,12/31/1930 0:00:00, , , , ,0.000000000000000,0, ,7,,0, ,12/31/2001 0:00:00, , ,RS,0,0,Grass,6, ,0,0, ,0,0,, ,0,0, ,70,0,Grass,6, ,0,0,55,0,,0, ,0.000000000000000,Bitum,20,1,2, ,0, ,0, , ,0,, ,0,0,8158.949545759999637,59359,59359,1,220.687714478000004,0.240147358329000
1129,93058,2,007,007,4,1764,0,0,BD,Both,System,SR-1764,Schrams Beach Rd,O,LRS_1800_05-20,A,2016,40001764007,0.053000000000000,0.106000000000000,1.353967000000000,1.406967000000000,40001785007,40001781007, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, , , , , , ,12/31/1972 0:00:00, , , , ,0.000000000000000,0, ,7,,0, ,12/31/1988 0:00:00, , ,IP,0,0,Grass,6, ,0,0, ,0,0,, ,0,0, ,60,0,Grass,6, ,0,0,55,0,,0, ,0.000000000000000,Bitum,20,1,2, ,0, ,0, , ,0,, ,0,0,280.069449003999978,59359,59359,1,220.687714478000004,0.240147358329000
1130,93218,2,007,007,3,32,0,0,BD,Both,System,NC-32,Park Dr,N, ,A,2007,30000032007,0.042673000000000,0.085346000000000,1.386677000000000,1.429350000000000,Pseudo,Pseudo, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000,7100,2020,380,110,270, ,12/31/1901 0:00:00, , ,Y, ,0.000000000000000,40, ,4,,0, ,7/1/2010 0:00:00,B-4019,TIP,BR,0,0,Concrete,6, ,0,0, ,0,0,, ,0,0, ,135,0,Concrete,6, ,0,103063,35,0,,0,S9.5B,3.000000000000000,Bitum,24,1,2, ,0, ,4,0248,Washington,0,,Urban Cluster,92404,3,224.736284869999992,59359,59359,1,220.687714478000004,0.240147358329000
1131,93312,2,007,007,3,32,0,0,BD,Both,System,NC-32,Park Dr,N, ,A,2007,30000032007,0.015980000000000,0.031960000000000,1.370697000000000,1.386677000000000,Pseudo,Pseudo, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000,7100,2020,380,110,270, ,12/31/1901 0:00:00, , ,Y, ,0.000000000000000,40, ,4,,0, ,7/1/2010 0:00:00,B-4019,TIP,BR,0,0,Concrete,6, ,0,0, ,0,0,, ,0,0, ,130,0,Concrete,6, ,0,103063,35,0,,0,S9.5B,3.000000000000000,Bitum,24,1,2, ,0, ,4,0248,Washington,0,,Urban Cluster,92404,3,84.200389035900002,59359,59359,1,220.687714478000004,0.240147358329000
