FID,FID_Divisi,Division,MaintCntyC,LocCntyCod,RouteClass,RouteNumbe,RouteQuali,RouteInven,Direction,TravelDire,RouteMaint,RouteName,StreetName,SrcDocType,SrcDocID,GeoDocType,GeoDocID,RouteID,MPLength,LaneMiles,BeginMp1,EndMp1,BeginFeatu,EndFeature,RouteID2,BeginMp2,EndMp2,RouteID3,BeginMp3,EndMp3,RouteID4,BeginMp4,EndMp4,RouteID5,BeginMp5,EndMp5,RouteID6,BeginMp6,EndMp6,AADT,AadtDate,AADTTruck,AadttMulti,AadttSingl,AccessCont,AddDate,AddDocID,AddDocType,BarePvmtRo,BaseDetail,BaseThickn,DesignSpd,FcltyType,FuncClass,FuncClassD,HOVLnCount,HOVType,ImprvDate,ImprvDocID,ImprvDocTy,ImprvType,LaneWidth,LftPvdShld,LftShldrTy,LftShldrWi,LftTrnLnTy,LftTrnLnWi,MaintOps,MedianType,MedianWidt,NHS,NHSDate,OwnerName,OwnerType,PeakLanes,PostedRout,ROW,RtPvdShldr,RtShldrTyp,RtShldrWid,RtTrnLnTyp,RtTrnLnWid,SampleID,SpeedLimit,MilitaryBa,STRAHNETDa,STRAHNETTy,SrfcDetail,SrfcThickn,SrfcType,SrfcWidth,TerrainTyp,ThruLaneCo,TollCharge,TollID,TollType,MunPopGrou,TownCode,TownName,TrkRoute,TrkRouteDa,UrbanType,UrbanID,UrbanPop,Shape_Leng,FID_NC_M2_,Id,gridcode,Shape_Le_1,Shape_Area
1975,131510,1,028,028,2,64,0,0,BD,Both,System,US-64,US 64 264 Hwy,N, ,N, ,20000064028,0.045199000000000,0.090398000000000,15.018801000000000,15.064000000000000,40001107028,Pseudo, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000,1800,2020,173,33,140, ,12/31/1901 0:00:00, , ,Y, ,0.000000000000000,70, ,4,,0, ,12/31/1974 0:00:00, , ,RS,0,0,Grass,4,Single,12,0, ,0,0,, ,0,0, ,60,0,Grass,4, ,0,0,55,0,,0, ,0.000000000000000,Bitum,24,1,2, ,0, ,0, , ,0,,Urban Cluster,54199,3,238.647130540000006,30886,30886,1,189.529020027000001,0.692616464252000
1976,131550,1,028,028,2,64,0,0,BD,Both,System,US-64,US 64 264 Hwy,N, ,N, ,20000064028,0.080605000000000,0.161210000000000,14.804341000000001,14.884945999999999,50098085028,50099734028, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000,1800,2020,173,33,140, ,12/31/1901 0:00:00, , ,Y, ,0.000000000000000,70, ,4,,0, ,12/31/1974 0:00:00, , ,RS,0,0,Grass,4,Single,12,0, ,0,0,, ,0,0, ,60,0,Grass,4, ,0,0,55,0,,0, ,0.000000000000000,Bitum,24,1,2, ,0, ,0, , ,0,,Urban Cluster,54199,3,425.053417713999977,30886,30886,1,189.529020027000001,0.692616464252000
1977,131706,1,048,048,3,94,0,0,BD,Both,System,NC-94,NC 94 Hwy,N, ,N, ,30000094048,0.019970000000000,0.039940000000000,15.168030000000000,15.188000000000001,Pseudo,Pseudo, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000,800,2020,135,62,73, ,12/31/1901 0:00:00, , ,Y, ,0.000000000000000,0, ,5,,0, ,, , , ,0,0, ,0, ,0,0, ,0,0,, ,0,0, ,0,0, ,0, ,0,0,45,0,,0, ,0.000000000000000,Bitum,24,1,2, ,0, ,0, , ,0,, ,0,0,104.761795559999996,30886,30886,1,189.529020027000001,0.692616464252000
1978,131768,1,028,028,2,64,0,0,BD,Both,System,US-64,US 64 264 Hwy,N, ,N, ,20000064028,0.000199000000000,0.000398000000000,14.720801000000000,14.721000000000000,22000064028,Pseudo, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000,4200,2020,420,150,270, ,12/31/1901 0:00:00, , ,Y, ,0.000000000000000,70, ,4,,0, ,12/31/1974 0:00:00, , ,RS,0,0,Grass,4,Single,12,0, ,0,0,, ,0,0, ,60,0,Grass,4, ,0,0,55,0,,0, ,0.000000000000000,Bitum,24,1,2, ,0, ,0, , ,0,,Urban Cluster,54199,3,1.049395192930000,30886,30886,1,189.529020027000001,0.692616464252000
1979,131862,1,048,048,3,94,0,0,BD,Both,System,NC-94,NC 94 Hwy,N, ,N, ,30000094048,0.090000000000000,0.180000000000000,15.760000000000000,15.850000000000000,40001310048,Pseudo, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000,600,2020,101,46,55, ,12/31/1901 0:00:00, , ,Y, ,0.000000000000000,0, ,5,,0, ,, , , ,0,0, ,0, ,0,0, ,0,0,, ,0,0, ,0,0, ,0, ,0,0,45,0,,0, ,0.000000000000000,Bitum,24,1,2, ,0, ,0, , ,0,, ,0,0,465.839072036000005,30886,30886,1,189.529020027000001,0.692616464252000
1980,131881,1,028,028,2,64,0,0,BD,Both,System,US-64,US 64 264 Hwy,N, ,N, ,20000064028,0.037490000000000,0.074980000000000,14.981311000000000,15.018801000000000,50098843028,40001107028, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000,1800,2020,173,33,140, ,12/31/1901 0:00:00, , ,Y, ,0.000000000000000,70, ,4,,0, ,12/31/1974 0:00:00, , ,RS,0,0,Grass,4,Single,12,0, ,0,0,, ,0,0, ,60,0,Grass,4, ,0,0,55,0,,0, ,0.000000000000000,Bitum,24,1,2, ,0, ,0, , ,0,,Urban Cluster,54199,3,197.691582993999987,30886,30886,1,189.529020027000001,0.692616464252000
1981,131948,1,048,048,3,94,0,0,BD,Both,System,NC-94,NC 94 Hwy,N, ,N, ,30000094048,0.250000000000000,0.500000000000000,15.510000000000000,15.760000000000000,40001305048,40001310048, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000,600,2020,101,46,55, ,12/31/1901 0:00:00, , ,Y, ,0.000000000000000,0, ,5,,0, ,, , , ,0,0, ,0, ,0,0, ,0,0,, ,0,0, ,0,0, ,0, ,0,0,45,0,,0, ,0.000000000000000,Bitum,24,1,2, ,0, ,0, , ,0,, ,0,0,1321.523701900000106,30886,30886,1,189.529020027000001,0.692616464252000
1982,131958,1,028,028,2,64,0,0,BD,Both,System,US-64,US 64 264 Hwy,N, ,N, ,20000064028,0.134147000000000,0.268294000000000,15.633654000000000,15.767801000000000,50099741028,40001107028, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000,1800,2020,173,33,140, ,12/31/1901 0:00:00, , ,Y, ,0.000000000000000,70, ,4,,0, ,12/31/1974 0:00:00, , ,RS,0,0,Grass,4,Single,12,0, ,0,0,, ,0,0, ,60,0,Grass,4, ,0,0,35,0,,0, ,0.000000000000000,Bitum,24,1,2, ,0, ,0, , ,0,,Urban Cluster,54199,3,708.295493197000042,30886,30886,1,189.529020027000001,0.692616464252000
1983,132046,1,028,028,2,64,0,0,BD,Both,System,US-64,US 64 264 Hwy,N, ,N, ,20000064028,0.044448000000000,0.088896000000000,14.748706000000000,14.793153999999999,50098840028,50098841028, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000,1800,2020,173,33,140, ,12/31/1901 0:00:00, , ,Y, ,0.000000000000000,70, ,4,,0, ,12/31/1974 0:00:00, , ,RS,0,0,Grass,4,Single,12,0, ,0,0,, ,0,0, ,60,0,Grass,4, ,0,0,55,0,,0, ,0.000000000000000,Bitum,24,1,2, ,0, ,0, , ,0,,Urban Cluster,54199,3,234.386759447999992,30886,30886,1,189.529020027000001,0.692616464252000
1984,132060,1,028,028,3,12,0,0,BD,Both,System,NC-12,NC 12 Hwy,T,R-4070A, , ,30000012028,0.325160000000000,0.650320000000000,15.678770999999999,16.003931000000001,Pseudo,Pseudo, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000,8500,2020,661,91,570, ,12/31/1980 0:00:00, , ,Y, ,0.000000000000000,65, ,5,,0, ,12/31/1980 0:00:00, , ,NL,0,4,Bitum,9, ,0,0, ,0,9,, ,0,0, ,60,4,Bitum,9, ,0,0,55,0,,0, ,0.000000000000000,Bitum,22,1,2, ,0, ,0, , ,0,, ,0,0,1717.334007330000077,30886,30886,1,189.529020027000001,0.692616464252000
